Event_Type,Time,Source_Node,Destination_Node,Protocol,Packet_Size,Flags,Flow_ID,Source_Address,Destination_Address,Sequence_Number,Packet_ID
+,1.0,0,1,tcp,40,-------,0,0.0,1.0,0,0
-,1.0,0,1,tcp,40,-------,0,0.0,1.0,0,0
r,1.01032,0,1,tcp,40,-------,0,0.0,1.0,0,0
+,1.01032,1,0,ack,40,-------,0,1.0,0.0,0,1
-,1.01032,1,0,ack,40,-------,0,1.0,0.0,0,1
r,1.02064,1,0,ack,40,-------,0,1.0,0.0,0,1
+,1.02064,0,1,tcp,1040,-------,0,0.0,1.0,1,2
-,1.02064,0,1,tcp,1040,-------,0,0.0,1.0,1,2
+,1.02064,0,1,tcp,1040,-------,0,0.0,1.0,2,3
-,1.02896,0,1,tcp,1040,-------,0,0.0,1.0,2,3
r,1.03896,0,1,tcp,1040,-------,0,0.0,1.0,1,2
+,1.03896,1,0,ack,40,-------,0,1.0,0.0,1,4
-,1.03896,1,0,ack,40,-------,0,1.0,0.0,1,4
r,1.04728,0,1,tcp,1040,-------,0,0.0,1.0,2,3
+,1.04728,1,0,ack,40,-------,0,1.0,0.0,2,5
-,1.04728,1,0,ack,40,-------,0,1.0,0.0,2,5
r,1.04928,1,0,ack,40,-------,0,1.0,0.0,1,4
+,1.04928,0,1,tcp,1040,-------,0,0.0,1.0,3,6
-,1.04928,0,1,tcp,1040,-------,0,0.0,1.0,3,6
+,1.04928,0,1,tcp,1040,-------,0,0.0,1.0,4,7
r,1.0576,1,0,ack,40,-------,0,1.0,0.0,2,5
+,1.0576,0,1,tcp,1040,-------,0,0.0,1.0,5,8
+,1.0576,0,1,tcp,1040,-------,0,0.0,1.0,6,9
-,1.0576,0,1,tcp,1040,-------,0,0.0,1.0,4,7
-,1.06592,0,1,tcp,1040,-------,0,0.0,1.0,5,8
r,1.0676,0,1,tcp,1040,-------,0,0.0,1.0,3,6
+,1.0676,1,0,ack,40,-------,0,1.0,0.0,3,10
-,1.0676,1,0,ack,40,-------,0,1.0,0.0,3,10
-,1.07424,0,1,tcp,1040,-------,0,0.0,1.0,6,9
r,1.07592,0,1,tcp,1040,-------,0,0.0,1.0,4,7
+,1.07592,1,0,ack,40,-------,0,1.0,0.0,4,11
-,1.07592,1,0,ack,40,-------,0,1.0,0.0,4,11
r,1.07792,1,0,ack,40,-------,0,1.0,0.0,3,10
+,1.07792,0,1,tcp,1040,-------,0,0.0,1.0,7,12
+,1.07792,0,1,tcp,1040,-------,0,0.0,1.0,8,13
-,1.08256,0,1,tcp,1040,-------,0,0.0,1.0,7,12
r,1.08424,0,1,tcp,1040,-------,0,0.0,1.0,5,8
+,1.08424,1,0,ack,40,-------,0,1.0,0.0,5,14
-,1.08424,1,0,ack,40,-------,0,1.0,0.0,5,14
r,1.08624,1,0,ack,40,-------,0,1.0,0.0,4,11
+,1.08624,0,1,tcp,1040,-------,0,0.0,1.0,9,15
+,1.08624,0,1,tcp,1040,-------,0,0.0,1.0,10,16
-,1.09088,0,1,tcp,1040,-------,0,0.0,1.0,8,13
r,1.09256,0,1,tcp,1040,-------,0,0.0,1.0,6,9
+,1.09256,1,0,ack,40,-------,0,1.0,0.0,6,17
-,1.09256,1,0,ack,40,-------,0,1.0,0.0,6,17
r,1.09456,1,0,ack,40,-------,0,1.0,0.0,5,14
+,1.09456,0,1,tcp,1040,-------,0,0.0,1.0,11,18
+,1.09456,0,1,tcp,1040,-------,0,0.0,1.0,12,19
-,1.0992,0,1,tcp,1040,-------,0,0.0,1.0,9,15
r,1.10088,0,1,tcp,1040,-------,0,0.0,1.0,7,12
+,1.10088,1,0,ack,40,-------,0,1.0,0.0,7,20
-,1.10088,1,0,ack,40,-------,0,1.0,0.0,7,20
r,1.10288,1,0,ack,40,-------,0,1.0,0.0,6,17
+,1.10288,0,1,tcp,1040,-------,0,0.0,1.0,13,21
+,1.10288,0,1,tcp,1040,-------,0,0.0,1.0,14,22
-,1.10752,0,1,tcp,1040,-------,0,0.0,1.0,10,16
r,1.1092,0,1,tcp,1040,-------,0,0.0,1.0,8,13
+,1.1092,1,0,ack,40,-------,0,1.0,0.0,8,23
-,1.1092,1,0,ack,40,-------,0,1.0,0.0,8,23
r,1.1112,1,0,ack,40,-------,0,1.0,0.0,7,20
+,1.1112,0,1,tcp,1040,-------,0,0.0,1.0,15,24
+,1.1112,0,1,tcp,1040,-------,0,0.0,1.0,16,25
-,1.11584,0,1,tcp,1040,-------,0,0.0,1.0,11,18
r,1.11752,0,1,tcp,1040,-------,0,0.0,1.0,9,15
+,1.11752,1,0,ack,40,-------,0,1.0,0.0,9,26
-,1.11752,1,0,ack,40,-------,0,1.0,0.0,9,26
r,1.11952,1,0,ack,40,-------,0,1.0,0.0,8,23
+,1.11952,0,1,tcp,1040,-------,0,0.0,1.0,17,27
+,1.11952,0,1,tcp,1040,-------,0,0.0,1.0,18,28
